"ID товари";Каталог;Вендор;"Товарна пропозиція";"Прив'язана картка";"Роздр. ціна, грн";Гарантія;Посилання;"Посилання в каталозі";"Наявність валідної картинки";"Статус товару";Стан;Причина
2744624655;"Питні системи";"No brand";"Гидратор на 3л с рюкзаком (Олива)";"Nobrand ";670;;;;ні;"не вивантажений";;"Некоректний вендор"
2744626175;"Питні системи";"No brand";"Гидратор на 3л с рюкзаком (Койот)";"Nobrand ";670;;;;ні;"не вивантажений";;"Некоректний вендор"
2744624723;Канцтовари;"No brand";"Полиамидная ручка переноса огня";"Nobrand ";650;;;;ні;"не вивантажений";;"Некоректний вендор"
2744626228;"Тактичний (військовий) одяг та взуття";"No brand";"Тактическая футболка-поло Coolpass – комфорт и функциональность в каждом движении";"Nobrand ";650;;;;ні;"не вивантажений";;"Некоректний вендор"
2744624626;Рюкзаки;"No brand";"Рюкзак с Molle 40л Хаки";"Nobrand ";1450;;;;ні;"не вивантажений";;"Некоректний вендор"
2744619910;"Тактичний (військовий) одяг та взуття";"No brand";"Жгут турникет для ВСУ (Учебный)";"Nobrand ";250;;;;ні;"не вивантажений";;"Некоректний вендор"
2744622168;"Аксесуари для стрілецької зброї";"No brand";"Магазин для АК коробчатый с окном для контроля количества заряда патронов коричневый";"Nobrand ";750;;;;ні;"не вивантажений";;"Некоректний вендор"
2744625252;"Тактичний (військовий) одяг та взуття";"No brand";"Армейская панама PLV (рип-стоп) Черная";"Nobrand ";399;;;;ні;"не вивантажений";;"Некоректний вендор"
2744626026;"Тактичне спорядження та амуніція";"No brand";"Сумка через плече - Койот з MOLLE-системою";"Nobrand ";600;;;;ні;"не вивантажений";;"Некоректний вендор"
2744622089;"Тактичний (військовий) одяг та взуття";"No brand";"Футболка мультикам CoolMax";"Nobrand ";385;;;;ні;"не вивантажений";;"Некоректний вендор"
2744619934;"Тактичний (військовий) одяг та взуття";"No brand";"Водозащитные бахилы для обуви пиксель";"Nobrand ";2900;;;;ні;"не вивантажений";;"Некоректний вендор"
2744626089;"Тактичний (військовий) одяг та взуття";"No brand";"Летние ботинки Belleville Minimalist Trainning Койот с полиуретановой стелькой";"Nobrand ";9920;;;;ні;"не вивантажений";;"Некоректний вендор"
2744619948;"Тактичний (військовий) одяг та взуття";"No brand";"Зимние перчатки мультикам Softshell";"Nobrand ";600;;;;ні;"не вивантажений";;"Некоректний вендор"
2744622088;"Тактичний (військовий) одяг та взуття";"No brand";"Футболка мультикам CoolMax";"Nobrand ";385;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627028;"Тактичний (військовий) одяг та взуття";"No brand";"Трикотажная футболка «ARNO» производитель Militex — Мультикам";"Nobrand ";890;;;;ні;"не вивантажений";;"Некоректний вендор"
2744626098;"Тактичний (військовий) одяг та взуття";"No brand";"Летние ботинки Belleville Minimalist Trainning Койот с полиуретановой стелькой";"Nobrand ";9920;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627033;"Тактичний (військовий) одяг та взуття";"No brand";"Трикотажная футболка «ARNO» производитель Militex — Мультикам";"Nobrand ";890;;;;ні;"не вивантажений";;"Некоректний вендор"
